Source,Target,Weight
11,7,0.00367443316
11,25,1.96e-07
11,24,0.0136682487
11,21,0.00128497648
11,6,0.00743169014
11,19,0.00569613329
11,13,0.000891843939
11,17,0.00269708622
11,18,0.000228116772
11,29,0.00485395651
11,23,0.00456029931
11,5,1.07e-05
11,8,0.00175598457
11,30,0.00712552847
11,16,0.000232320997
11,15,0.000138486103
11,9,0.00311355071
11,3,0.00302627752
11,22,0.000680441499
11,1,0.0115564936
11,14,0.0418693039
11,27,0.00457576293
11,28,0.0061595106
11,26,0.00175020716
11,12,0.00160345628
11,4,0.0203104187
11,2,0.00641580808
11,10,0.00419657466
5,20,0.00551299136
5,7,0.0149270925
5,25,0.000487626885
5,24,0.00105246556
5,21,0.00123400131
5,6,0.000226807547
5,19,0.0195662254
5,13,0.00308933521
5,17,0.0102504732
5,18,0.0013152967
5,29,4.8e-07
5,23,0.000509982402
5,11,0.00515785837
5,8,0.00255684072
5,30,0.000448988975
5,16,0.00776120559
5,15,0.00338924543
5,9,0.00079795307
5,3,0.0118438335
5,22,0.000452192022
5,1,0.00522790438
5,14,0.00882491249
5,27,0.000201053129
5,28,0.0540597558
5,26,0.000161020687
5,12,0.00221989081
5,4,0.00134029773
5,2,0.00411646427
5,10,0.0029316212
8,20,0.00373838609
8,7,0.00407331225
8,25,0.000588447961
8,24,0.000136096266
8,21,0.000216243721
8,6,0.000578824422
8,19,0.0286442215
8,13,0.00534025124
8,17,0.0202674552
8,18,0.000816132906
8,29,0.00836671477
8,23,0.00161135973
8,11,0.00148170864
8,5,8.95e-05
8,30,0.000273641415
8,16,0.0141995426
8,15,0.00236901621
8,9,0.000164130085
8,3,0.00293594187
8,22,0.000987550073
8,1,0.00371222311
8,14,0.00445691574
8,27,0.0187120968
8,28,0.000999218747
8,26,0.0157828345
8,12,0.00290868867
8,4,0.010088146
8,2,0.00379723571
8,10,0.00290457296
30,20,0.000378645261
30,7,5.7e-05
30,25,0.00200399554
30,24,0.00418668062
30,21,0.00900458937
30,6,0.0017607695
30,19,0.00203178118
30,13,0.0321641649
30,17,0.00113332795
30,18,0.00577199381
30,29,0.00115835995
30,23,0.00163838218
30,11,0.0219450622
30,5,0.00572047931
30,8,0.00478744142
30,16,1.27e-05
30,15,0.00349595234
30,9,0.00132613741
30,3,0.0163774559
30,22,0.00169873629
30,1,0.0132162507
30,14,0.00126973765
30,27,0.00054475837
30,28,0.000134303074
30,26,0.00543671245
30,12,0.00694891952
30,4,0.00197874668
30,2,0.0209651195
30,10,5.62e-05
16,20,0.00135212804
16,7,0.00265334554
16,25,0.0022502435
16,24,9.75e-05
16,21,0.0105422833
16,6,0.000338464964
16,19,0.00807412041
16,13,0.00567688245
16,17,0.0341125731
16,18,2.04e-05
16,29,0.0155437417
16,23,0.00874712385
16,11,0.00184479674
16,5,0.0112519576
16,8,0.00414088877
16,30,0.00382881915
16,15,0.000229389144
16,9,0.0378545118
16,3,0.00555550747
16,22,0.0208877838
16,1,0.0535234803
16,14,0.000195048549
16,27,0.000144542667
16,28,0.00231645002
16,26,0.0156622337
16,12,0.00216840101
16,4,0.0136752981
16,2,0.00512933296
16,10,0.0102134827
15,20,0.00389996118
15,7,2.91e-06
15,25,0.044863333
15,24,0.00404405797
15,21,0.00776409975
15,6,0.000143346324
15,19,0.0137072596
15,13,0.00080962266
15,17,0.0138014237
15,18,0.0182414477
15,29,0.00338416822
15,23,0.00029954648
15,11,0.00444519395
15,5,0.00224452494
15,8,0.000745791462
15,30,0.000585542495
15,16,0.044412412
15,9,0.00092443598
15,3,0.0174690235
15,22,0.00035462879
15,1,0.0328298028
15,14,0.0207336731
15,27,0.00128316952
15,28,0.0139744825
15,26,0.000943446934
15,12,0.0158503335
15,4,0.00321201742
15,2,0.00154959321
15,10,0.00546560784
9,20,0.00910252675
9,7,0.000496242167
9,25,0.00142951227
9,24,0.00867839798
9,21,0.0238573373
9,6,0.00150582533
9,19,0.0198768679
9,13,0.00076514021
9,17,0.00813319175
9,18,0.000355149295
9,29,0.0013865217
9,23,0.000454148361
9,11,0.0128688231
9,5,0.00236107755
9,8,0.0384728879
9,30,0.00413520628
9,16,0.0138455117
9,15,0.010522007
9,3,0.00264130633
9,22,0.0154898258
9,1,0.000538587506
9,14,0.00107621891
9,27,0.00102172679
9,28,0.00230738584
9,26,0.019680402
9,12,0.000241485143
9,4,0.0142480561
9,2,0.0139138866
9,10,0.00324593194
3,20,0.000887837533
3,7,0.00823076515
3,25,0.000548609368
3,24,0.00481402515
3,21,0.0341968323
3,6,0.00342473484
3,19,0.0355815256
3,13,0.00621164721
3,17,0.00704425403
3,18,0.00276120541
3,29,0.000269229592
3,23,0.0184594863
3,11,0.010893509
3,5,0.00383679674
3,8,0.00324794253
3,30,0.0030529259
3,16,0.00028419225
3,15,0.00348577914
3,9,0.030294422
3,22,0.0203192175
3,1,0.000672463551
3,14,0.000586855737
3,27,0.00422628275
3,28,0.0135075987
3,26,0.000219931205
3,12,0.00265257187
3,4,0.000238107906
3,2,0.000337278344
3,10,0.00259912157
22,20,0.000180525157
22,7,0.000341661299
22,25,0.00552388544
22,24,3.96e-05
22,21,0.00398765325
22,6,0.000178663467
22,19,0.00212459718
22,13,0.00435815818
22,17,0.00232186969
22,18,0.000348225434
22,29,7.7e-05
22,23,0.0139602588
22,11,0.00195319514
22,5,0.00486117217
22,8,0.00185602378
22,30,7.33e-07
22,16,7.17e-05
22,15,0.000582249333
22,9,5.62e-05
22,3,0.00750819318
22,1,0.00255392184
22,14,0.00151979049
22,27,0.000164036218
22,28,0.00475545314
22,26,0.000156424766
22,12,0.0178101874
22,4,0.00110763181
22,2,0.00298516144
22,10,0.00185491606
1,20,0.00266219873
1,7,0.000315373845
1,25,0.00627248516
1,24,0.00158459759
1,21,0.0146596491
1,6,0.00561388578
1,19,0.00301664462
1,13,5.03e-05
1,17,0.0207279789
1,18,0.0187603398
1,29,1.65e-06
1,23,0.00815869192
1,11,5.12e-06
1,5,0.00466160128
1,8,0.0404081364
1,30,6.44e-05
1,16,0.000784568323
1,15,0.00558430894
1,9,0.00497019132
1,3,0.00778300854
1,22,0.00714241437
1,14,0.00162543509
1,27,0.00304916369
1,28,0.00665024276
1,26,0.0169812439
1,12,0.00989728719
1,4,0.00970454153
1,2,0.005917331
1,10,0.000142972445
14,20,0.000185836926
14,7,0.0199501
14,25,0.00159273718
14,24,3.06e-05
14,21,0.00139171071
14,6,0.00416039726
14,19,0.00333786242
14,13,0.0165257309
14,17,0.00117567571
14,18,0.00366599988
14,29,0.00334564605
14,23,0.00170633839
14,11,0.0203240589
14,5,0.0126367329
14,8,0.00332822519
14,30,0.0051185514
14,16,0.00572000608
14,15,0.00380436789
14,9,0.00901028607
14,3,0.0240292446
14,22,0.000194923149
14,1,0.00172531768
14,27,0.013931041
14,28,0.000477303398
14,26,0.0253611178
14,12,0.00473403359
14,4,0.0429341365
14,2,0.000676800134
14,10,7.27e-08
27,20,0.000165462109
